course_title,course_code,prereq_courses,same_subjects,course_desc
6.012 Nanoelectronics and Computing Systems,6.012,['6.002'],[],"Studies interaction between materials, semiconductor physics, electronic devices, and computing systems. Develops intuition of how transistors operate. Topics range from introductory semiconductor physics to modern state-of-the-art nano-scale devices. Considers how innovations in devices have driven historical progress in computing, and explores ideas for further improvements in devices and computing. Students apply material to understand how building improved computing systems requires knowledge of devices, and how making the correct device requires knowledge of computing systems. Includes a design project for practical application of concepts, and labs for experience building silicon transistors and devices. "
6.013 Electromagnetics Waves and Applications,6.013,"['18.02|18.02A|18.022|18.024', '8.02|8.021|8.022']",[],"Analysis and design of modern applications that employ electromagnetic phenomena for signals and power transmission in RF, microwaves, optical and wireless communication systems. Fundamentals include dynamic solutions for Maxwell's equations; electromagnetic power and energy, waves in media, metallic and dielectric waveguides, radiation, and diffraction; resonance; filters; and acoustic analogs. Lab activities range from building to testing of devices and systems (e.g., antenna arrays, radars, dielectric waveguides). Students work in teams on self-proposed maker-style design projects with a focus on fostering creativity, teamwork, and debugging skills. 6.002 and 6.003 are recommended but not required. "
"6.014 Electromagnetic Fields, Forces and Motion",6.014,"['8.02|8.021|8.022', '18.03']",[],"Study of electromagnetics and electromagnetic energy conversion leading to an understanding of devices, including electromagnetic sensors, actuators, motors and generators. Quasistatic Maxwell's equations and the Lorentz force law. Studies of the quasistatic fields and their sources through solutions of Poisson's and Laplace's equations. Boundary conditions and multi-region boundary-value problems. Steady-state conduction, polarization, and magnetization. Charge conservation and relaxation, and magnetic induction and diffusion. Extension to moving materials. Electric and magnetic forces and force densities derived from energy, and stress tensors. Extensive use of engineering examples. Students taking graduate version complete additional assignments. "
6.02 Introduction to EECS via Communication Networks,6.02,['6.0001'],[],"Studies key concepts, systems, and algorithms to reliably communicate data in settings ranging from the cellular phone network and the Internet to deep space. Weekly laboratory experiments explore these areas in depth. Topics presented in three modules - bits, signals, and packets - spanning the multiple layers of a communication system. Bits module includes information, entropy, data compression algorithms, and error correction with block and convolutional codes. Signals module includes modeling physical channels and noise, signal design, filtering and detection, modulation, and frequency-division multiplexing. Packets module includes switching and queuing principles, media access control, routing protocols, and data transport protocols. "
6.021[J] Cellular Neurophysiology and Computing,6.021[J],"['8.02|8.021|8.022', '18.03', '2.005', '6.002', '6.003', '10.301', '20.110']","['2.791[J]', '9.21[J]', '20.370[J]']","Integrated overview of the biophysics of cells from prokaryotes to neurons, with a focus on mass transport and electrical signal generation across cell membrane. First third of course focuses on mass transport through membranes: diffusion, osmosis, chemically mediated, and active transport. Second third focuses on electrical properties of cells: ion transport to action potential generation and propagation in electrically excitable cells. Synaptic transmission. Electrical properties interpreted via kinetic and molecular properties of single voltage-gated ion channels. Final third focuses on biophysics of synaptic transmission and introduction to neural computing. Laboratory and computer exercises illustrate the concepts. Students taking graduate version complete different assignments. Preference to juniors and seniors."
6.022[J] Quantitative and Clinical Physiology,6.022[J],"['8.02|8.021|8.022', '18.03']","['2.792[J]', 'HST.542[J]']","Application of the principles of energy and mass flow to major human organ systems. Anatomical, physiological and clinical features of the cardiovascular, respiratory and renal systems. Mechanisms of regulation and homeostasis. Systems, features and devices that are most illuminated by the methods of physical sciences and engineering models. Required laboratory work includes animal studies. Students taking graduate version complete additional assignments. "
"6.023[J] Fields, Forces and Flows in Biological Systems",6.023[J],"['7.012|7.013|7.014|7.015|7.016', '8.02|8.021|8.022', '18.03']","['2.793[J]', '20.330[J]']",See description under subject 20.330[J]. 
"6.024[J] Molecular, Cellular, and Tissue Biomechanics",6.024[J],"['7.012|7.013|7.014|7.015|7.016', '2.370', '20.110', '18.03']","['2.797[J]', '3.053[J]', '20.310[J]']",See description under subject 20.310[J]. 
6.025[J] Medical Device Design,6.025[J],"['2.008', '6.101', '6.111', '6.115', '22.071']",['2.750[J]'],See description under subject 2.750[J]. Enrollment limited.
6.026[J] Biomedical Signal and Image Processing (New),6.026[J],"['6.041', '2.004', '6.003', '16.002', '18.085']",['HST.482[J]'],"Fundamentals of digital signal processing with emphasis on problems in biomedical research and clinical medicine. Basic principles and algorithms for processing both deterministic and random signals. Topics include data acquisition, imaging, filtering, coding, feature extraction, and modeling. Lab projects, performed in MATLAB, provide practical experience in processing physiological data, with examples from cardiology, speech processing, and medical imaging. Lectures cover signal processing topics relevant to the lab exercises, as well as background on the biological signals processed in the labs. Students taking graduate version complete additional assignments. "
6.027[J] Biomolecular Feedback Systems,6.027[J],"['7.012|7.013|7.014|7.015|7.016', '18.03']",['2.180[J]'],See description under subject 2.180[J]. 
6.03 Introduction to EECS via Medical Technology,6.03,"['18.02|18.02A|18.022|18.024', '8.02|8.021|8.022']",[],"Explores biomedical signals generated from electrocardiograms, glucose detectors or ultrasound images, and magnetic resonance images. Topics include physical characterization and modeling of systems in the time and frequency domains; analog and digital signals and noise; basic machine learning including decision trees, clustering, and classification; and introductory machine vision. Labs designed to strengthen background in signal processing and machine learning. Students design and run structured experiments, and develop and test procedures through further experimentation. "
6.031 Elements of Software Construction,6.031,['6.009'],[],"Introduces fundamental principles and techniques of software development: how to write software that is safe from bugs, easy to understand, and ready for change. Topics include specifications and invariants; testing, test-case generation, and coverage; abstract data types and representation independence; design patterns for object-oriented programming; concurrent programming, including message passing and shared memory concurrency, and defending against races and deadlock; and functional programming with immutable data and higher-order functions. Includes weekly programming exercises and larger group programming projects. "
6.033 Computer Systems Engineering,6.033,"['6.004', '6.009']",[],"Topics on the engineering of computer software and hardware systems: techniques for controlling complexity; strong modularity using client-server design, operating systems; performance, networks; naming; security and privacy; fault-tolerant systems, atomicity and coordination of concurrent activities, and recovery; impact of computer systems on society. Case studies of working systems and readings from the current literature provide comparisons and contrasts. Includes a single, semester-long design project. Students engage in extensive written communication exercises. Enrollment may be limited."
6.034 Artificial Intelligence,6.034,['6.0001'],[],"Introduces representations, methods, and architectures used to build applications and to account for human intelligence from a computational point of view. Covers applications of rule chaining, constraint propagation, constrained search, inheritance, statistical inference, and other problem-solving paradigms. Also addresses applications of identification trees, neural nets, genetic algorithms, support-vector machines, boosting, and other learning paradigms. Considers what separates human intelligence from that of other animals. Students taking graduate version complete additional assignments. "
6.035 Computer Language Engineering,6.035,"['6.004', '6.031']",[],"Analyzes issues associated with the implementation of higher-level programming languages. Fundamental concepts, functions, and structures of compilers. The interaction of theory and practice. Using tools in building software. Includes a multi-person project on compiler design and implementation. "
6.036 Introduction to Machine Learning,6.036,"['18.02|18.02A|18.022|18.024', '6.0001', '6.01']",[],"Introduces principles, algorithms, and applications of machine learning from the point of view of modeling and prediction; formulation of learning problems; representation, over-fitting, generalization; clustering, classification, probabilistic modeling; and methods such as support vector machines, hidden Markov models, and  neural networks. Students taking graduate version complete additional assignments. Meets with 6.862 when offered concurrently. Recommended prerequisites: 6.006 and 18.06. Enrollment may be limited."
6.037 Structure and Interpretation of Computer Programs,6.037,[],[],Studies the structure and interpretation of computer programs which transcend specific programming languages. Demonstrates thought patterns for computer science using Scheme. Includes weekly programming projects. Enrollment may be limited.
6.041 Introduction to Probability,6.041,['18.02|18.02A|18.022|18.024'],[],"An introduction to probability theory, the modeling and analysis of probabilistic systems, and elements of statistical inference. Probabilistic models, conditional probability. Discrete and continuous random variables. Expectation and conditional expectation, and further topics about random variables. Limit Theorems. Bayesian estimation and hypothesis testing. Elements of classical statistical inference. Bernoulli and Poisson processes. Markov chains. Students taking graduate version complete additional assignments. "
6.042[J] Mathematics for Computer Science,6.042[J],['18.01|18.01A|18.014'],['18.062[J]'],"Elementary discrete mathematics for science and engineering, with a focus on mathematical tools and proof techniques useful in computer science. Topics include logical notation, sets, relations, elementary graph theory, state machines and invariants, induction and proofs by contradiction, recurrences, asymptotic notation, elementary analysis of algorithms, elementary number theory and cryptography, permutations and combinations, counting tools, and discrete probability. "
6.045[J] Computability and Complexity Theory,6.045[J],['6.006'],['18.400[J]'],"Mathematical introduction to the theory of computing. Rigorously explores what kinds of tasks can be efficiently solved with computers by way of finite automata, circuits, Turing machines, and communication complexity, introducing students to some major open problems in mathematics. Builds skills in classifying computational tasks in terms of their difficulty. Discusses other fundamental issues in computing, including the Halting Problem, the Church-Turing Thesis, the P versus NP problem, and the power of randomness.   "
6.046[J] Design and Analysis of Algorithms,6.046[J],['6.006'],['18.410[J]'],"Techniques for the design and analysis of efficient algorithms, emphasizing methods useful in practice. Topics include sorting; search trees, heaps, and hashing; divide-and-conquer; dynamic programming; greedy algorithms; amortized analysis; graph algorithms; and shortest paths. Advanced topics may include network flow; computational geometry; number-theoretic algorithms; polynomial and matrix calculations; caching; and parallel computing. "
"6.047 Computational Biology: Genomes, Networks, Evolution",6.047,"['7.012|7.013|7.014|7.015|7.016', '6.006']",[],"Covers the algorithmic and machine learning foundations of computational biology, combining theory with practice. Principles of algorithm design, influential problems and techniques, and analysis of large-scale biological datasets. Topics include (a) genomes: sequence analysis, gene finding, RNA folding, genome alignment and assembly, database search; (b) networks: gene expression analysis, regulatory motifs, biological network analysis; (c) evolution: comparative genomics, phylogenetics, genome duplication, genome rearrangements, evolutionary theory. These are coupled with fundamental algorithmic techniques including: dynamic programming, hashing, Gibbs sampling, expectation maximization, hidden Markov models, stochastic context-free grammars, graph clustering, dimensionality reduction, Bayesian networks. "
"6.049[J] Evolutionary Biology: Concepts, Models and Computation",6.049[J],"['6.0001', '7.03']",['7.33[J]'],See description under subject 7.33[J]. 
"6.050[J] Information, Entropy, and Computation",6.050[J],['8.01|8.01L|8.011|8.012'],['2.110[J]'],See description under subject 2.110[J]. 
6.057 Introduction to MATLAB,6.057,[],[],"Accelerated introduction to MATLAB and its popular toolboxes. Lectures are interactive, with students conducting sample MATLAB problems in real time. Includes problem-based MATLAB assignments. Students must provide their own laptop and software. Enrollment limited."
"6.058 Introduction to Signals and Systems, and Feedback Control",6.058,['18.02|18.02A|18.022|18.024'],[],"Introduces fundamental concepts for 6.003, including Fourier and Laplace transforms, convolution, sampling, filters, feedback control, stability, and Bode plots. Students engage in problem solving, using Mathematica and MATLAB software extensively to help visualize processing in the time frequency domains. "
6.061 Introduction to Electric Power Systems,6.061,"['6.002', '6.013']",[],"Electric circuit theory with application to power handling electric circuits. Modeling and behavior of electromechanical devices, including magnetic circuits, motors, and generators. Operational fundamentals of synchronous. Interconnection of generators and motors with electric power transmission and distribution circuits. Power generation, including alternative and sustainable sources. Incorporation of energy storage in power systems. Students taking graduate version complete additional assignments. "
6.070[J] Electronics Project Laboratory,6.070[J],[],['EC.120[J]'],"Intuition-based introduction to electronics, electronic components and test equipment such as oscilloscopes, meters (voltage, resistance inductance, capacitance, etc.), and signal generators. Emphasizes individual instruction and development of skills, such as soldering, assembly, and troubleshooting. Students design, build, and keep a small electronics project to put their new knowledge into practice. Intended for students with little or no previous background in electronics. Enrollment may be limited."
6.073[J] Creating Video Games,6.073[J],"['6.01', 'CMS.301', 'CMS.608']",['CMS.611[J]'],See description under subject CMS.611[J]. Limited to 24.
6.08 Introduction to EECS via Interconnected Embedded Systems,6.08,"['6.0001', '8.02|8.021|8.022']",[],"Introduction to embedded systems in the context of connected devices, wearables, and the ""Internet of Things"" (IoT). Topics include microcontrollers, energy utilization, algorithmic efficiency, interfacing with sensors, networking, cryptography, and local versus distributed computation. Students design, make, and program an Internet-connected wearable or handheld device. In the final project, student teams design and demo their own server-connected IoT system. Enrollment limited; preference to first- and second-year students."
6.S057 Special Subject in Electrical Engineering and Computer Science (New),6.S057,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S058 Special Subject in Electrical Engineering and Computer Science (New),6.S058,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S059 Special Subject in Electrical Engineering and Computer Science (New),6.S059,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S060 Special Subject in Electrical Engineering and Computer Science (New),6.S060,[],[],Basic undergraduate subjects not offered in the regular curriculum. 
6.S061 Special Subject in Electrical Engineering and Computer Science (New),6.S061,[],[],Basic undergraduate subjects not offered in the regular curriculum. 
6.S062 Special Subject in Electrical Engineering and Computer Science,6.S062,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S063 Special Subject in Electrical Engineering and Computer Science,6.S063,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S076 Special Subject in Electrical Engineering and Computer Science,6.S076,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S077 Special Subject in Electrical Engineering and Computer Science,6.S077,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S078 Special Subject in Electrical Engineering and Computer Science,6.S078,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S079 Special Subject in Electrical Engineering and Computer Science,6.S079,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S080 Special Subject in Electrical Engineering and Computer Science,6.S080,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S081 Special Subject in Electrical Engineering and Computer Science,6.S081,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S082 Special Subject in Electrical Engineering and Computer Science,6.S082,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S083 Special Subject in Electrical Engineering and Computer Science,6.S083,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S084 Special Subject in Electrical Engineering and Computer Science,6.S084,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S085 Special Subject in Electrical Engineering and Computer Science,6.S085,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S086 Special Subject in Electrical Engineering and Computer Science,6.S086,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S087 Special Subject in Electrical Engineering and Computer Science,6.S087,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S088 Special Subject in Electrical Engineering and Computer Science,6.S088,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S089 Special Subject in Electrical Engineering and Computer Science,6.S089,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S090 Special Subject in Electrical Engineering and Computer Science,6.S090,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S091 Special Subject in Electrical Engineering and Computer Science,6.S091,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S092 Special Subject in Electrical Engineering and Computer Science,6.S092,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S093 Special Subject in Electrical Engineering and Computer Science,6.S093,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S094 Special Subject in Electrical Engineering and Computer Science,6.S094,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S095 Special Subject in Electrical Engineering and Computer Science,6.S095,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S096 Special Subject in Electrical Engineering and Computer Science,6.S096,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S097 Special Subject in Electrical Engineering and Computer Science,6.S097,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S098 Special Subject in Electrical Engineering and Computer Science,6.S098,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.S099 Special Subject in Electrical Engineering and Computer Science,6.S099,[],[],Covers subject matter not offered in the regular curriculum. Consult department to learn of offerings for a particular term. 
6.100 Electrical Engineering and Computer Science Project,6.100,[],[],Individual experimental work related to electrical engineering and computer science. Student must make arrangements with a project supervisor and file a proposal endorsed by the supervisor. Departmental approval required. Written report to be submitted upon completion of work. 
6.101 Analog Electronics Laboratory,6.101,['6.002'],[],"Experimental laboratory explores the design, construction, and debugging of analog electronic circuits. Lectures and laboratory projects in the first half of the course investigate the performance characteristics of semiconductor devices (diodes, BJTs, and MOSFETs) and functional analog building blocks, including single-stage amplifiers, op amps, small audio amplifier, filters, converters, sensor circuits, and medical electronics (ECG, pulse-oximetry). Projects involve design, implementation, and presentation in an environment similar to that of industry engineering design teams. Instruction and practice in written and oral communication provided. Opportunity to simulate real-world problems and solutions that involve tradeoffs and the use of engineering judgment. "
6.111 Digital Systems Laboratory,6.111,"['6.002', '6.08', '16.004']",[],"Investigates digital systems with a focus on FPGAs. Lectures and labs cover logic, flip flops, counters, timing, synchronization, finite-state machines, digital signal processing, as well as more advanced topics such as communication protocols and modern sensors.   Prepares students for the design and implementation of a final project of their choice: games, music, digital filters, wireless communications, video, or graphics. Extensive use of System/Verilog for describing and implementing digital logic designs. "
6.115 Microcomputer Project Laboratory,6.115,"['6.002', '6.003', '6.004']",[],"Introduces analysis and design of embedded systems. Microcontrollers provide adaptation, flexibility, and real-time control. Emphasizes construction of complete systems, including a five-axis robot arm, a fluorescent lamp ballast, a tomographic imaging station (e.g., a CAT scan), and a simple calculator. Presents a wide range of basic tools, including software and development tools, programmable system on chip, peripheral components such as A/D converters, communication schemes, signal processing techniques, closed-loop digital feedback control, interface and power electronics, and modeling of electromechanical systems. Includes a sequence of assigned projects, followed by a final project of the student's choice, emphasizing creativity and uniqueness. Provides instruction in written and oral communication. To satisfy the independent inquiry component of this subject, students expand the scope of their laboratory project. "
6.1151 Microcomputer Project Laboratory - Independent Inquiry,6.1151,"['6.002', '6.003', '6.004']",[],"Introduces analysis and design of embedded systems. Microcontrollers provide adaptation, flexibility, and real-time control. Emphasizes construction of complete systems, including a five-axis robot arm, a fluorescent lamp ballast, a tomographic imaging station (e.g., a CAT scan), and a simple calculator. Presents a wide range of basic tools, including software and development tools, programmable system on chip, peripheral components such as A/D converters, communication schemes, signal processing techniques, closed-loop digital feedback control, interface and power electronics, and modeling of electromechanical systems. Includes a sequence of assigned projects, followed by a final project of the student's choice, emphasizing creativity and uniqueness. Provides instruction in written and oral communication. Students taking independent inquiry version 6.1151 expand the scope of their laboratory project. "
6.117 Introduction to Electrical Engineering Lab Skills,6.117,[],[],"Introduces basic electrical engineering concepts, components, and laboratory techniques. Covers analog integrated circuits, power supplies, and digital circuits. Lab exercises provide practical experience in constructing projects using multi-meters, oscilloscopes, logic analyzers, and other tools. Includes a project in which students build a circuit to display their own EKG. Enrollment limited."
6.123[J] Bioinstrumentation Project Lab,6.123[J],"['20.309', '7.012|7.013|7.014|7.015|7.016', '2.004', '6.003']",['20.345[J]'],See description under subject 20.345[J]. Enrollment limited; preference to Course 20 majors and minors.
6.129[J] Biological Circuit Engineering Laboratory,6.129[J],"['7.012|7.013|7.014|7.015|7.016', '18.02|18.02A|18.022|18.024']",['20.129[J]'],See description under subject 20.129[J]. Enrollment limited.
6.131 Power Electronics Laboratory,6.131,"['6.002', '6.003']",[],"Introduces the design and construction of power electronic circuits and motor drives. Laboratory exercises include the construction of drive circuitry for an electric go-cart, flash strobes, computer power supplies, three-phase inverters for AC motors, and resonant drives for lamp ballasts and induction heating. Basic electric machines introduced include DC, induction, and permanent magnet motors, with drive considerations. Provides instruction in written and oral communication. Students taking independent inquiry version 6.1311 expand the scope of their laboratory project. "
6.1311 Power Electronics Laboratory - Independent Inquiry,6.1311,"['6.002', '6.003']",[],"Introduces the design and construction of power electronic circuits and motor drives. Laboratory exercises include the construction of drive circuitry for an electric go-cart, flash strobes, computer power supplies, three-phase inverters for AC motors, and resonant drives for lamp ballasts and induction heating. Basic electric machines introduced include DC, induction, and permanent magnet motors, with drive considerations. Provides instruction in written and oral communication. To satisfy the independent inquiry component of this subject, students expand the scope of their laboratory project. "
6.141[J] Robotics: Science and Systems,6.141[J],"['1.00', '6.0001', '2.003', '6.006', '6.009', '16.06']",['16.405[J]'],"Presents concepts, principles, and algorithmic foundations for robots and autonomous vehicles operating in the physical world. Topics include sensing, kinematics and dynamics, state estimation, computer vision, perception, learning, control, motion planning, and embedded system development. Students design and implement advanced algorithms on complex robotic platforms capable of agile autonomous navigation and real-time interaction with the physical word. Students engage in extensive written and oral communication exercises. Enrollment limited."
6.146 Mobile Autonomous Systems Laboratory: MASLAB,6.146,[],[],"Autonomous robotics contest emphasizing technical AI, vision, mapping and navigation from a robot-mounted camera. Few restrictions are placed on materials, sensors, and/or actuators enabling teams to build robots very creatively. Teams should have members with varying engineering, programming and mechanical backgrounds. Culminates with a robot competition at the end of IAP. Enrollment limited."
6.147 The Battlecode Programming Competition,6.147,[],[],"Artificial Intelligence programming contest in Java. Student teams program virtual robots to play Battlecode, a real-time strategy game. Competition culminates in a live BattleCode tournament. Assumes basic knowledge of programming. "
6.148 Web Lab: A Web Programming Class and Competition,6.148,[],[],"Student teams learn to  design and build functional and user-friendly web applications. Topics include version control, HTML, CSS, JavaScript, ReactJS, and nodejs. All teams are eligible to enter a competition where sites are judged by industry experts. Beginners and experienced web programmers welcome, but some previous programming experience is recommended. "
6.150 Mobile Applications Competition,6.150,[],[],"Student teams design and build an Android application based on a given theme. Lectures and labs led by experienced students and leading industry experts, covering the basics of Android development, concepts and tools to help participants build great apps. Contest culminates with a public presentation in front of a judging panel comprised of professional developers and MIT faculty. Prizes awarded. Enrollment limited."
6.151 iOS Game Design and Development Competition,6.151,[],[],"Introduction to iOS game design and development for students already familiar with object-oriented programming. Provides a set of basic tools (Objective-C and Cocos2D) and exposure to real-world issues in game design. Working in small teams, students complete a final project in which they create their own iPhone game. At the end of IAP, teams present their games in competition for prizes awarded by a judging panel of gaming experts. "
6.152[J] Micro/Nano Processing Technology,6.152[J],"['18.02|18.02A|18.022|18.024', '3.091|5.111|5.112', '8.02|8.021|8.022']",['3.155[J]'],"Introduces the theory and technology of micro/nano fabrication. Includes lectures and laboratory sessions on processing techniques: wet and dry etching, chemical and physical deposition, lithography, thermal processes, packaging, and device and materials characterization. Homework uses process simulation tools to build intuition about higher order effects. Emphasizes interrelationships between material properties and processing, device structure, and the electrical, mechanical, optical, chemical or biological behavior of devices. Students fabricate solar cells, and a choice of MEMS cantilevers or microfluidic mixers. Students formulate their own device idea, either based on cantilevers or mixers, then implement and test their designs in the lab. Students engage in extensive written and oral communication exercises. Course provides background for research work related to micro/nano fabrication. Enrollment limited."
6.161 Modern Optics Project Laboratory,6.161,['6.003'],[],"Lectures, laboratory exercises and projects on optical signal generation, transmission, detection, storage, processing and display. Topics include polarization properties of light; reflection and refraction; coherence and interference; Fraunhofer and Fresnel diffraction; holography; Fourier optics; coherent and incoherent imaging and signal processing systems; optical properties of materials; lasers and LEDs; electro-optic and acousto-optic light modulators; photorefractive and liquid-crystal light modulation; display technologies; optical waveguides and fiber-optic communication systems; photodetectors. Students may use this subject to find an advanced undergraduate project. Students engage in extensive oral and written communication exercises. Recommended prerequisite: 8.03. "
6.163 Strobe Project Laboratory,6.163,['8.02|8.021|8.022'],[],"Application of electronic flash sources to measurement and photography. First half covers fundamentals of photography and electronic flashes, including experiments on application of electronic flash to photography, stroboscopy, motion analysis, and high-speed videography. Students write four extensive lab reports. In the second half, students work in small groups to select, design, and execute independent projects in measurement or photography that apply learned techniques. Project planning and execution skills are discussed and developed over the term. Students engage in extensive written and oral communication exercises. Enrollment limited."
6.170 Software Studio,6.170,"['6.031', '6.042']",[],"Provides design-focused instruction on how to build software applications. Design topics include classic human-computer interaction (HCI) design tactics (need finding, heuristic evaluation, prototyping, user testing), conceptual design (modeling and evaluating constituent concepts), abstract data modeling, and visual design. Implementation topics include functional programming in Javascript, reactive front-ends, web services, and databases. Students work in teams on term-long projects in which they construct applications of social value. "
6.172 Software Performance Engineering,6.172,"['6.004', '6.006', '6.031']",[],"Project-based introduction to building efficient, high-performance and scalable software systems. Topics include performance analysis, algorithmic techniques for high performance, instruction-level optimizations, vectorization, cache and memory hierarchy optimization, and parallel programming. "
